# Note - You may enter notes about your run here. They will be displayed every time this log is loaded.
# Saved Wednesday July 07 2021
# To calculate the rpm of your motor: take the Motor_RPM and divide by the number of motor poles / 2
LogSession_ID,Log_Frequency,Drive_Voltage,Drive_Current,Drive_Power,Temperature,Input_Throttle,Output_Throttle,Motor_RPM,Power_Consumption
52,8,29.53,5.00,147.65,87.80,1300,27.00,20100,1.66
52,8,29.53,5.03,148.54,87.80,1299,27.00,20700,1.67
52,8,29.53,5.02,148.24,87.80,1299,27.00,20100,1.67
52,8,29.53,5.04,148.83,87.80,1303,28.00,20700,1.68
52,8,29.53,5.07,149.72,87.80,1300,27.00,20100,1.68
52,8,29.53,5.08,150.01,87.80,1300,27.00,20100,1.69
52,8,29.53,5.03,148.54,87.80,1297,27.00,20700,1.69
52,8,29.53,4.99,147.35,87.80,1299,27.00,20100,1.70
52,8,29.53,5.02,148.24,87.80,1300,27.00,20100,1.70
52,8,29.53,5.04,148.83,87.80,1299,27.00,20100,1.70
52,8,29.53,5.04,148.83,87.80,1299,27.00,20700,1.71
52,8,29.53,5.04,148.83,87.80,1296,27.00,20100,1.71
52,8,29.53,5.02,148.24,87.80,1299,27.00,20100,1.72
52,8,29.54,5.04,148.88,87.80,1302,28.00,20700,1.72
52,8,29.55,5.08,150.11,87.80,1302,28.00,20100,1.73
52,8,29.55,5.08,150.11,87.80,1301,27.00,20700,1.73
52,8,29.54,5.05,149.18,87.80,1295,27.00,20700,1.73
52,8,29.55,5.01,148.05,87.80,1300,27.00,20100,1.74
52,8,29.55,5.03,148.64,87.80,1300,27.00,20700,1.74
52,8,29.56,5.05,149.28,87.80,1300,27.00,20100,1.75
52,8,29.55,5.05,149.23,87.80,1298,27.00,20100,1.75
52,8,29.56,5.05,149.28,87.80,1298,27.00,20700,1.76
52,8,29.57,5.04,149.03,87.80,1301,27.00,20100,1.76
52,8,29.57,5.04,149.03,87.80,1302,28.00,20100,1.77
52,8,29.57,5.06,149.62,87.80,1303,28.00,20700,1.77
52,8,29.56,5.07,149.87,87.80,1300,27.00,20700,1.77
52,8,29.57,5.04,149.03,87.80,1301,27.00,20100,1.78
52,8,29.58,5.05,149.38,87.80,1302,28.00,20700,1.78
52,8,29.58,5.08,150.27,87.80,1300,27.00,20700,1.79
52,8,29.57,5.07,149.92,87.80,1302,28.00,20100,1.79
52,8,29.58,5.08,150.27,87.80,1301,27.00,20700,1.80
52,8,29.59,5.09,150.61,87.80,1302,28.00,20100,1.80
52,8,29.58,5.06,149.67,87.80,1299,27.00,20700,1.80
52,8,29.59,5.05,149.43,87.80,1300,27.00,20100,1.81
52,8,29.58,5.04,149.08,87.80,1299,27.00,20700,1.81
52,8,29.58,5.05,149.38,87.80,1296,27.00,20700,1.82
52,8,29.58,5.05,149.38,87.80,1301,27.00,20100,1.82
52,8,29.57,5.05,149.33,87.80,1304,28.00,20700,1.83
52,8,29.58,5.06,149.67,87.80,1299,27.00,20700,1.83
52,8,29.58,5.07,149.97,87.80,1305,28.00,20700,1.84
52,8,29.59,5.09,150.61,87.80,1304,28.00,20100,1.84
52,8,29.59,5.07,150.02,87.80,1303,28.00,20700,1.84
52,8,29.59,5.03,148.84,87.80,1304,28.00,20700,1.85
52,8,29.58,5.08,150.27,87.80,1320,30.00,20100,1.85
52,8,29.53,5.61,165.66,87.80,1340,32.00,21300,1.86
52,8,29.48,6.07,178.94,87.80,1343,32.00,21900,1.86
52,8,29.46,6.04,177.94,87.80,1352,34.00,23160,1.87
52,8,29.45,6.17,181.71,87.80,1363,35.00,23760,1.87
52,8,29.43,6.34,186.59,87.80,1363,35.00,24360,1.88
52,8,29.42,6.26,184.17,87.80,1366,35.00,24360,1.88
52,8,29.41,6.22,182.93,87.80,1364,35.00,24960,1.89
52,8,29.41,6.24,183.52,87.80,1384,37.00,24960,1.90
52,8,29.35,6.68,196.06,87.80,1393,38.00,25560,1.90
52,8,29.30,7.21,211.25,87.80,1390,38.00,26820,1.91
52,8,29.29,7.23,211.77,87.80,1388,38.00,27420,1.91
52,8,29.30,7.01,205.39,87.80,1392,38.00,26820,1.92
52,8,29.33,6.95,203.84,87.80,1397,39.00,27420,1.93
52,8,29.31,7.17,210.15,87.80,1405,40.00,27420,1.93
52,8,29.26,7.42,217.11,87.80,1423,42.00,28020,1.94
52,8,29.22,7.70,224.99,87.80,1416,41.00,28620,1.95
52,8,29.19,7.59,221.55,87.80,1421,41.00,28620,1.95
52,8,29.21,7.52,219.66,87.80,1425,42.00,29220,1.96
52,8,29.21,7.60,222.00,87.80,1427,42.00,28620,1.97
52,8,29.18,7.75,226.15,87.80,1445,44.00,29220,1.97
52,8,29.12,10.25,298.48,87.80,1447,45.00,29820,1.98
52,8,29.07,10.57,307.27,87.80,1450,45.00,31080,1.99
52,8,29.05,10.50,305.03,87.80,1455,45.00,30480,2.00
52,8,29.05,10.45,303.57,87.80,1460,46.00,30480,2.01
52,8,29.02,10.68,309.93,87.80,1468,47.00,31680,2.02
52,8,28.93,11.22,324.59,87.80,1475,48.00,31680,2.03
52,8,28.90,11.26,325.41,87.80,1479,48.00,32280,2.04
52,8,28.90,11.30,326.57,87.80,1477,48.00,32280,2.05
52,8,28.90,11.34,327.73,87.80,1483,49.00,32880,2.06
52,8,28.86,11.59,334.49,87.80,1491,50.00,32880,2.07
52,8,28.81,12.09,348.31,87.80,1499,50.00,33480,2.08
52,8,28.76,12.26,352.60,87.80,1495,50.00,33480,2.09
52,8,28.76,12.09,347.71,87.80,1496,50.00,34080,2.10
52,8,28.76,11.93,343.11,87.80,1501,51.00,34080,2.11
52,8,28.74,12.10,347.75,87.80,1502,51.00,34080,2.12
52,8,28.70,12.29,352.72,87.80,1516,52.00,34080,2.13
52,8,28.63,12.54,359.02,87.80,1514,52.00,34740,2.14
52,8,28.58,12.48,356.68,87.80,1510,52.00,34740,2.15
52,8,28.56,12.40,354.14,87.80,1510,52.00,34740,2.16
52,8,28.57,12.47,356.27,87.80,1509,52.00,34740,2.17
52,8,28.56,12.50,357.00,87.80,1529,54.00,34740,2.18
52,8,28.45,13.06,371.56,87.80,1532,54.00,34740,2.20
52,8,28.37,13.24,375.62,87.80,1534,55.00,35940,2.21
52,8,28.34,13.19,373.80,87.80,1534,55.00,35940,2.22
52,8,28.34,13.20,374.09,87.80,1529,54.00,35940,2.23
52,8,28.35,13.20,374.22,87.80,1544,56.00,35340,2.24
52,8,28.34,13.47,381.74,87.80,1553,57.00,36540,2.25
52,8,28.34,13.95,395.34,87.80,1559,58.00,36540,2.26
52,8,28.34,14.19,402.14,87.80,1553,57.00,37140,2.28
